caseNum,timeSteps,gamma_R,gamma_C
1,25800,1,0.125
2,25800,2,0.125
3,25800,4,0.125
4,25800,8,0.125
5,25800,16,0.125
6,25800,32,0.125
7,25800,64,0.125
8,25800,1,0.25
9,25800,2,0.25
10,25800,4,0.25
11,25800,8,0.25
12,25800,16,0.25
13,25800,32,0.25
14,25800,64,0.25
15,25800,1,0.5
16,25800,2,0.5
17,25800,4,0.5
18,25800,8,0.5
19,25800,16,0.5
20,25800,32,0.5
21,25800,64,0.5
22,25800,1,1
23,25800,2,1
24,25800,4,1
25,25800,8,1
26,25800,16,1
27,25800,32,1
28,25800,64,1
29,25800,1,2
30,25800,2,2
31,25800,4,2
32,25800,8,2
33,25800,16,2
34,25800,32,2
35,25800,64,2
36,25800,1,4
37,25800,2,4
38,25800,4,4
39,25800,8,4
40,25800,16,4
41,25800,32,4
42,25800,64,4
43,25800,1,8
44,25800,2,8
45,25800,4,8
46,25800,8,8
47,25800,16,8
48,25800,32,8
49,25800,64,8
50,2600,1,0.00390625
51,2600,1,0.015625
52,2600,1,0.0625
53,2600,1,16
54,2600,1,64
55,2600,1,256
56,2600,2,0.00390625
57,2600,2,0.015625
58,2600,2,0.0625
59,2600,2,16
60,2600,2,64
61,2600,2,256
62,2600,4,0.00390625
63,2600,4,0.015625
64,2600,4,0.0625
65,2600,4,16
66,2600,4,64
67,2600,4,256
68,2600,8,0.00390625
69,2600,8,0.015625
70,2600,8,0.0625
71,2600,8,16
72,2600,8,64
73,2600,8,256
74,2600,16,0.00390625
75,2600,16,0.015625
76,2600,16,0.0625
77,2600,16,16
78,2600,16,64
79,2600,16,256
80,2600,32,0.00390625
81,2600,32,0.015625
82,2600,32,0.0625
83,2600,32,16
84,2600,32,64
85,2600,32,256
86,2600,64,0.00390625
87,2600,64,0.015625
88,2600,64,0.0625
89,2600,64,16
90,2600,64,64
91,2600,64,256
