caseNum,timeSteps,gamma_R,gamma_RC
1,305000,1,0.125
2,305000,2,0.125
3,305000,4,0.125
4,305000,8,0.125
5,305000,16,0.125
6,305000,32,0.125
7,305000,64,0.125
8,305000,1,0.25
9,305000,2,0.25
10,305000,4,0.25
11,305000,8,0.25
12,305000,16,0.25
13,305000,32,0.25
14,305000,64,0.25
15,305000,1,0.5
16,305000,2,0.5
17,305000,4,0.5
18,305000,8,0.5
19,305000,16,0.5
20,305000,32,0.5
21,305000,64,0.5
22,305000,1,1
23,305000,2,1
24,305000,4,1
25,305000,8,1
26,305000,16,1
27,305000,32,1
28,305000,64,1
29,305000,1,2
30,305000,2,2
31,305000,4,2
32,305000,8,2
33,305000,16,2
34,305000,32,2
35,305000,64,2
36,305000,1,4
37,305000,2,4
38,305000,4,4
39,305000,8,4
40,305000,16,4
41,305000,32,4
42,305000,64,4
43,305000,1,8
44,305000,2,8
45,305000,4,8
46,305000,8,8
47,305000,16,8
48,305000,32,8
49,305000,64,8
50,30000,1,0.00390625
51,30000,1,0.015625
52,30000,1,0.0625
53,30000,1,16
54,30000,1,64
55,30000,1,256
56,30000,2,0.00390625
57,30000,2,0.015625
58,30000,2,0.0625
59,30000,2,16
60,30000,2,64
61,30000,2,256
62,30000,4,0.00390625
63,30000,4,0.015625
64,30000,4,0.0625
65,30000,4,16
66,30000,4,64
67,30000,4,256
68,30000,8,0.00390625
69,30000,8,0.015625
70,30000,8,0.0625
71,30000,8,16
72,30000,8,64
73,30000,8,256
74,30000,16,0.00390625
75,30000,16,0.015625
76,30000,16,0.0625
77,30000,16,16
78,30000,16,64
79,30000,16,256
80,30000,32,0.00390625
81,30000,32,0.015625
82,30000,32,0.0625
83,30000,32,16
84,30000,32,64
85,30000,32,256
86,30000,64,0.00390625
87,30000,64,0.015625
88,30000,64,0.0625
89,30000,64,16
90,30000,64,64
91,30000,64,256
