caseNum,timeSteps,gamma_R,gamma_C
1,76000,1,0.125
2,76000,2,0.125
3,76000,4,0.125
4,76000,8,0.125
5,76000,16,0.125
6,76000,32,0.125
7,76000,64,0.125
8,76000,1,0.25
9,76000,2,0.25
10,76000,4,0.25
11,76000,8,0.25
12,76000,16,0.25
13,76000,32,0.25
14,76000,64,0.25
15,76000,1,0.5
16,76000,2,0.5
17,76000,4,0.5
18,76000,8,0.5
19,76000,16,0.5
20,76000,32,0.5
21,76000,64,0.5
22,76000,1,1
23,76000,2,1
24,76000,4,1
25,76000,8,1
26,76000,16,1
27,76000,32,1
28,76000,64,1
29,76000,1,2
30,76000,2,2
31,76000,4,2
32,76000,8,2
33,76000,16,2
34,76000,32,2
35,76000,64,2
36,76000,1,4
37,76000,2,4
38,76000,4,4
39,76000,8,4
40,76000,16,4
41,76000,32,4
42,76000,64,4
43,76000,1,8
44,76000,2,8
45,76000,4,8
46,76000,8,8
47,76000,16,8
48,76000,32,8
49,76000,64,8
50,7500,1,0.00390625
51,7500,1,0.015625
52,7500,1,0.0625
53,7500,1,16
54,7500,1,64
55,7500,1,256
56,7500,2,0.00390625
57,7500,2,0.015625
58,7500,2,0.0625
59,7500,2,16
60,7500,2,64
61,7500,2,256
62,7500,4,0.00390625
63,7500,4,0.015625
64,7500,4,0.0625
65,7500,4,16
66,7500,4,64
67,7500,4,256
68,7500,8,0.00390625
69,7500,8,0.015625
70,7500,8,0.0625
71,7500,8,16
72,7500,8,64
73,7500,8,256
74,7500,16,0.00390625
75,7500,16,0.015625
76,7500,16,0.0625
77,7500,16,16
78,7500,16,64
79,7500,16,256
80,7500,32,0.00390625
81,7500,32,0.015625
82,7500,32,0.0625
83,7500,32,16
84,7500,32,64
85,7500,32,256
86,7500,64,0.00390625
87,7500,64,0.015625
88,7500,64,0.0625
89,7500,64,16
90,7500,64,64
91,7500,64,256
