caseNum,timeSteps,gamma_R,gamma_RC
1,17000,1,0.25
2,17000,4,0.25
3,17000,16,0.25
4,17000,64,0.25
5,17000,256,0.25
6,17000,1024,0.25
7,17000,1,1
8,17000,4,1
9,17000,16,1
10,17000,64,1
11,17000,256,1
12,17000,1024,1
13,17000,1,4
14,17000,4,4
15,17000,16,4
16,17000,64,4
17,17000,256,4
18,17000,1024,4
19,17000,1,16
20,17000,4,16
21,17000,16,16
22,17000,64,16
23,17000,256,16
24,17000,1024,16
25,850000,1,64
26,17000,4,64
27,17000,16,64
28,17000,64,64
29,17000,256,64
30,17000,1024,64
31,850000,1,256
32,850000,4,256
33,17000,16,256
34,17000,64,256
35,17000,256,256
36,17000,1024,256
37,850000,1,1024
38,850000,4,1024
39,850000,16,1024
40,17000,64,1024
41,17000,256,1024
42,17000,1024,1024
43,850000,1,4096
44,850000,4,4096
45,850000,16,4096
46,850000,64,4096
47,17000,256,4096
48,17000,1024,4096
49,850000,1,16384
50,850000,4,16384
51,850000,16,16384
52,850000,64,16384
53,850000,256,16384
54,17000,1024,16384
55,850000,1,65536
56,850000,4,65536
57,850000,16,65536
58,850000,64,65536
59,850000,256,65536
60,850000,1024,65536
61,850000,256,20643
62,850000,256,26008
63,850000,256,32768
