caseNum,timeSteps,gamma_R,gamma_C
1,34000,1,0.25
2,34000,4,0.25
3,34000,16,0.25
4,34000,64,0.25
5,34000,256,0.25
6,34000,1024,0.25
7,34000,1,1
8,34000,4,1
9,34000,16,1
10,34000,64,1
11,34000,256,1
12,34000,1024,1
13,34000,1,4
14,34000,4,4
15,34000,16,4
16,34000,64,4
17,34000,256,4
18,34000,1024,4
19,34000,1,16
20,34000,4,16
21,34000,16,16
22,34000,64,16
23,34000,256,16
24,34000,1024,16
25,34000,1,64
26,34000,4,64
27,34000,16,64
28,34000,64,64
29,34000,256,64
30,34000,1024,64
31,34000,1,256
32,34000,4,256
33,34000,16,256
34,34000,64,256
35,34000,256,256
36,34000,1024,256
37,34000,1,1024
38,34000,4,1024
39,34000,16,1024
40,34000,64,1024
41,34000,256,1024
42,34000,1024,1024
43,34000,1,4096
44,34000,4,4096
45,34000,16,4096
46,34000,64,4096
47,34000,256,4096
48,34000,1024,4096
49,668000,1,16384
50,668000,4,16384
51,668000,16,16384
52,668000,64,16384
53,668000,256,16384
54,34000,1024,16384
55,34000,1,65536
56,34000,4,65536
57,34000,16,65536
58,34000,64,65536
59,668000,256,65536
60,668000,1024,65536
61,668000,256,20643
62,668000,256,26008
63,668000,256,32768
