caseNum,timeSteps,gamma_R,gamma_C
1,66000,1,0.25
2,66000,4,0.25
3,66000,16,0.25
4,66000,64,0.25
5,66000,256,0.25
6,66000,1024,0.25
7,66000,1,1
8,66000,4,1
9,66000,16,1
10,66000,64,1
11,66000,256,1
12,66000,1024,1
13,66000,1,4
14,66000,4,4
15,66000,16,4
16,66000,64,4
17,66000,256,4
18,66000,1024,4
19,66000,1,16
20,66000,4,16
21,66000,16,16
22,66000,64,16
23,66000,256,16
24,66000,1024,16
25,66000,1,64
26,66000,4,64
27,66000,16,64
28,66000,64,64
29,66000,256,64
30,66000,1024,64
31,66000,1,256
32,66000,4,256
33,66000,16,256
34,66000,64,256
35,66000,256,256
36,66000,1024,256
37,66000,1,1024
38,66000,4,1024
39,66000,16,1024
40,66000,64,1024
41,66000,256,1024
42,66000,1024,1024
43,66000,1,4096
44,66000,4,4096
45,66000,16,4096
46,66000,64,4096
47,66000,256,4096
48,66000,1024,4096
49,66000,1,16384
50,66000,4,16384
51,66000,16,16384
52,66000,64,16384
53,66000,256,16384
54,66000,1024,16384
55,66000,1,65536
56,66000,4,65536
57,66000,16,65536
58,66000,64,65536
59,66000,256,65536
60,66000,1024,65536
